GKZ,Name,Wahlberechtigte,abgegeben,gültig,ungültig,spoe,oevp,fpoe,gruene,kpoe,bzoe,cpoe,puma
G60307,Bad Gams,1922,1241,1229,12,567,417,108,32,28,71,6,0
G60308,Garanas,217,181,180,1,42,118,12,3,0,4,1,0
G60309,Georgsberg,1198,866,846,20,174,498,81,24,25,39,5,0
G60310,Greisdorf,865,601,591,10,167,308,62,19,11,22,2,0
G60311,Gressenberg,273,181,179,2,61,96,15,1,2,4,0,0
G60312,Groß Sankt Florian,2413,1564,1533,31,552,731,119,55,21,46,9,0
G60313,Großradl,1222,810,796,14,269,371,91,9,9,44,3,0
G60314,Gundersdorf,333,218,212,6,57,111,26,7,1,10,0,0
G60315,Hollenegg,1788,1206,1195,11,514,438,103,24,24,83,9,0
G60316,Kloster,168,122,120,2,49,52,9,0,3,6,1,0
G60318,Lannach,2707,1598,1573,25,544,598,208,93,62,55,13,0
G60319,Limberg bei Wies,756,497,489,8,254,176,33,8,3,12,3,0
G60320,Marhof,859,658,643,15,306,221,61,21,6,23,5,0
G60321,Osterwitz,130,102,100,2,38,47,7,0,1,4,3,0
G60322,Pitschgau,1314,922,914,8,508,281,68,10,17,25,5,0
G60323,Pölfing-Brunn,1415,899,893,6,456,270,77,24,19,44,3,0
G60324,Preding,1406,881,862,19,389,279,99,33,20,35,7,0
G60325,Rassach,1189,754,739,15,220,357,73,19,22,42,6,0
G60326,Sankt Josef (Weststeiermark),1143,833,822,11,282,360,75,39,26,29,11,0
G60327,Sankt Martin im Sulmtal,1513,1100,1089,11,383,496,97,25,10,67,11,0
G60328,Sankt Oswald ob Eibiswald,482,340,338,2,174,104,38,7,5,10,0,0
G60329,Sankt Peter im Sulmtal,1089,682,676,6,229,290,53,20,3,77,4,0
G60330,Sankt Stefan ob Stainz,1828,1183,1167,16,357,512,145,39,34,46,34,0
G60331,Schwanberg,1801,1112,1094,18,484,421,82,36,16,43,12,0
G60332,Soboth,295,254,250,4,154,83,10,0,2,1,0,0
G60333,Stainz,1993,1197,1180,17,425,475,111,68,33,57,11,0
G60334,Stainztal,1192,871,859,12,291,420,67,28,10,34,9,0
G60335,Stallhof,442,290,286,4,165,61,17,13,19,7,4,0
G60336,Sulmeck-Greith,1168,836,822,14,325,362,74,17,7,29,8,0
G60338,Trahütten,322,209,206,3,58,97,20,4,9,18,0,0
G60339,Unterbergla,1174,818,801,17,272,359,104,20,20,23,3,0
G60340,Wernersdorf,548,397,395,2,147,191,37,7,3,10,0,0
G60341,Wettmannstätten,1250,828,818,10,330,347,71,17,8,34,11,0
G60342,Wielfresen,526,369,368,1,130,205,18,5,1,5,4,0
G60343,Wies,1981,1284,1265,19,569,482,109,36,13,48,8,0
G60401,Auersbach,749,610,605,5,105,416,58,10,8,4,4,0
G60402,Aug-Radisch,250,184,182,2,17,123,32,0,4,5,1,0
G60403,Bad Gleichenberg,1752,1032,1015,17,300,514,92,47,23,33,6,0
G60404,Bairisch Kölldorf,854,666,650,16,392,177,49,14,8,7,3,0
G60405,Baumgarten bei Gnas,495,384,378,6,107,211,34,8,6,9,3,0
G60406,Breitenfeld an der Rittschein,667,485,482,3,218,196,36,9,5,13,5,0
G60407,Edelsbach bei Feldbach,1087,827,813,14,251,433,70,25,15,15,4,0
G60408,Edelstauden,384,276,271,5,62,145,40,4,5,11,4,0
G60409,Eichkögl,1002,642,628,14,162,318,83,19,15,24,7,0
G60410,Fehring,2505,1689,1663,26,494,852,174,68,34,28,13,0
